--------- RESULTADOS FINALES ---------   ECOLI_AGG   

Partición,%_class,%_red,Fit.,T
1,75.71,57.14,71.07,2.95e+04
2,68.57,42.86,62.14,3.04e+04
3,66.18,71.43,67.49,3.08e+04
4,73.53,57.14,69.43,3.00e+04
5,86.67,42.86,75.71,3.24e+04
Media,74.13,54.29,69.17,3.06e+04
