--------- RESULTADOS FINALES ---------   PARKINSONS_AGE   

Partición,%_class,%_red,Fit.,T
1,97.50,72.73,91.31,1.50e+04
2,92.50,77.27,88.69,1.47e+04
3,97.50,77.27,92.44,1.47e+04
4,92.50,81.82,89.83,1.47e+04
5,97.14,81.82,93.31,1.57e+04
Media,95.43,78.18,91.12,1.50e+04
