--------- RESULTADOS FINALES ---------   BREAST-CANCER_1_NN   

Partición,%_class,%_red,Fit.,T
1,97.39,0.00,73.04,4.00e+00
2,96.52,0.00,72.39,3.00e+00
3,92.17,0.00,69.13,4.00e+00
4,98.26,0.00,73.70,3.00e+00
5,93.58,0.00,70.18,4.00e+00
Media,95.59,0.00,71.69,3.60e+00
