--------- RESULTADOS FINALES ---------   PARKINSONS_OLD_BL   

Partición,%_class,%_red,Fit.,T
1,90.00,72.73,85.68,8.71e+02
2,85.00,72.73,81.93,9.96e+02
3,95.00,77.27,90.57,8.95e+02
4,92.50,81.82,89.83,1.28e+03
5,94.29,81.82,91.17,7.88e+02
Media,91.36,77.27,87.84,9.66e+02
