--------- RESULTADOS FINALES ---------   BREAST-CANCER_AGE_BLX   

Partición,%_class,%_red,Fit.,T
1,93.91,83.33,91.27,1.42e+05
2,95.65,83.33,92.57,1.44e+05
3,90.43,86.67,89.49,1.40e+05
4,92.17,83.33,89.96,1.40e+05
5,94.50,83.33,91.70,1.44e+05
Media,93.33,84.00,91.00,1.42e+05
