--------- RESULTADOS FINALES ---------   BREAST-CANCER_AM_BEST   

Partición,%_class,%_red,Fit.,T
1,95.65,90.00,94.24,1.42e+05
2,92.17,73.33,87.46,1.45e+05
3,88.70,86.67,88.19,1.40e+05
4,92.17,90.00,91.63,1.39e+05
5,92.66,90.00,92.00,1.42e+05
Media,92.27,86.00,90.70,1.42e+05
