--------- RESULTADOS FINALES ---------   BREAST-CANCER_AGG_BLX   

Partición,%_class,%_red,Fit.,T
1,95.65,80.00,91.74,1.44e+05
2,95.65,90.00,94.24,1.39e+05
3,87.83,90.00,88.37,1.43e+05
4,91.30,90.00,90.98,1.40e+05
5,92.66,83.33,90.33,1.46e+05
Media,92.62,86.67,91.13,1.43e+05
