--------- RESULTADOS FINALES ---------   PARKINSONS_1_NN   

Partición,%_class,%_red,Fit.,T
1,97.50,0.00,73.12,0.00e+00
2,87.50,0.00,65.62,0.00e+00
3,97.50,0.00,73.12,0.00e+00
4,100.00,0.00,75.00,0.00e+00
5,91.43,0.00,68.57,0.00e+00
Media,94.79,0.00,71.09,0.00e+00
