--------- RESULTADOS FINALES ---------   BREAST-CANCER_GREEDY   

Partición,%_class,%_red,Fit.,T
1,97.39,3.33,73.88,1.20e+01
2,97.39,3.33,73.88,1.30e+01
3,89.57,13.33,70.51,1.00e+01
4,97.39,0.00,73.04,1.00e+01
5,94.50,0.00,70.87,1.00e+01
Media,95.25,4.00,72.44,1.10e+01
