--------- RESULTADOS FINALES ---------   BREAST-CANCER_BL   

Partición,%_class,%_red,Fit.,T
1,95.65,80.00,91.74,9.46e+03
2,95.65,83.33,92.57,1.10e+04
3,84.35,80.00,83.26,9.55e+03
4,93.91,90.00,92.93,1.32e+04
5,95.41,86.67,93.23,1.91e+04
Media,93.00,84.00,90.75,1.25e+04
