--------- RESULTADOS FINALES ---------   PARKINSONS_AGE_BLX   

Partición,%_class,%_red,Fit.,T
1,95.00,72.73,89.43,1.50e+04
2,87.50,77.27,84.94,1.47e+04
3,97.50,77.27,92.44,1.47e+04
4,95.00,81.82,91.70,1.46e+04
5,97.14,81.82,93.31,1.55e+04
Media,94.43,78.18,90.37,1.49e+04
