--------- RESULTADOS FINALES ---------   BREAST-CANCER_AM_RAND   

Partición,%_class,%_red,Fit.,T
1,95.65,83.33,92.57,1.51e+05
2,98.26,83.33,94.53,1.43e+05
3,94.78,90.00,93.59,1.40e+05
4,93.04,90.00,92.28,1.39e+05
5,95.41,76.67,90.73,1.48e+05
Media,95.43,84.67,92.74,1.44e+05
