--------- RESULTADOS FINALES ---------   PARKINSONS_AGG   

Partición,%_class,%_red,Fit.,T
1,100.00,68.18,92.05,1.52e+04
2,87.50,72.73,83.81,1.53e+04
3,95.00,81.82,91.70,1.50e+04
4,92.50,77.27,88.69,1.50e+04
5,88.57,77.27,85.75,1.59e+04
Media,92.71,75.45,88.40,1.53e+04
