--------- RESULTADOS FINALES ---------   PARKINSONS_AM_BEST   

Partición,%_class,%_red,Fit.,T
1,100.00,77.27,94.32,1.48e+04
2,95.00,77.27,90.57,1.49e+04
3,92.50,68.18,86.42,1.62e+04
4,87.50,77.27,84.94,1.48e+04
5,85.71,81.82,84.74,1.56e+04
Media,92.14,76.36,88.20,1.53e+04
