--------- RESULTADOS FINALES ---------   ECOLI_1_NN   

Partición,%_class,%_red,Fit.,T
1,80.00,0.00,60.00,0.00e+00
2,72.86,0.00,54.64,0.00e+00
3,82.35,0.00,61.76,0.00e+00
4,83.82,0.00,62.87,0.00e+00
5,85.00,0.00,63.75,0.00e+00
Media,80.81,0.00,60.61,0.00e+00
