--------- RESULTADOS FINALES ---------   ECOLI_AGE_BLX   

Partición,%_class,%_red,Fit.,T
1,77.14,57.14,72.14,2.93e+04
2,68.57,57.14,65.71,2.93e+04
3,77.94,57.14,72.74,2.97e+04
4,72.06,71.43,71.90,3.04e+04
5,85.00,57.14,78.04,3.15e+04
Media,76.14,60.00,72.11,3.00e+04
