--------- RESULTADOS FINALES ---------   ECOLI_AGG_BLX   

Partición,%_class,%_red,Fit.,T
1,78.57,57.14,73.21,2.99e+04
2,74.29,42.86,66.43,3.00e+04
3,66.18,71.43,67.49,3.11e+04
4,79.41,57.14,73.84,3.00e+04
5,85.00,57.14,78.04,3.20e+04
Media,76.69,57.14,71.80,3.06e+04
