--------- RESULTADOS FINALES ---------   BREAST-CANCER_AM_ALL   

Partición,%_class,%_red,Fit.,T
1,93.04,80.00,89.78,1.49e+05
2,95.65,90.00,94.24,1.43e+05
3,93.04,80.00,89.78,1.45e+05
4,92.17,86.67,90.80,1.43e+05
5,95.41,90.00,94.06,1.47e+05
Media,93.87,85.33,91.73,1.46e+05
