--------- RESULTADOS FINALES ---------   ECOLI_GREEDY   

Partición,%_class,%_red,Fit.,T
1,77.14,28.57,65.00,2.00e+00
2,74.29,28.57,62.86,1.00e+00
3,79.41,28.57,66.70,1.00e+00
4,80.88,28.57,67.80,1.00e+00
5,86.67,28.57,72.14,1.00e+00
Media,79.68,28.57,66.90,1.20e+00
