--------- RESULTADOS FINALES ---------   ECOLI_AM_ALL   

Partición,%_class,%_red,Fit.,T
1,74.29,57.14,70.00,2.97e+04
2,68.57,57.14,65.71,2.98e+04
3,77.94,57.14,72.74,3.00e+04
4,80.88,57.14,74.95,3.02e+04
5,85.00,57.14,78.04,3.15e+04
Media,77.34,57.14,72.29,3.02e+04
