--------- RESULTADOS FINALES ---------   PARKINSONS_AGG_BLX   

Partición,%_class,%_red,Fit.,T
1,95.00,72.73,89.43,1.55e+04
2,95.00,77.27,90.57,1.48e+04
3,95.00,72.73,89.43,1.49e+04
4,92.50,81.82,89.83,1.46e+04
5,97.14,81.82,93.31,1.57e+04
Media,94.93,77.27,90.51,1.51e+04
