--------- RESULTADOS FINALES ---------   PARKINSONS_GREEDY   

Partición,%_class,%_red,Fit.,T
1,97.50,0.00,73.12,1.00e+00
2,90.00,0.00,67.50,1.00e+00
3,95.00,0.00,71.25,1.00e+00
4,100.00,0.00,75.00,1.00e+00
5,91.43,0.00,68.57,1.00e+00
Media,94.79,0.00,71.09,1.00e+00
