--------- RESULTADOS FINALES ---------   ECOLI_AM_RAND   

Partición,%_class,%_red,Fit.,T
1,74.29,57.14,70.00,2.95e+04
2,54.29,71.43,58.57,2.99e+04
3,77.94,57.14,72.74,3.00e+04
4,80.88,57.14,74.95,3.01e+04
5,71.67,71.43,71.61,3.18e+04
Media,71.81,62.86,69.57,3.03e+04
