--------- RESULTADOS FINALES ---------   PARKINSONS_AM_ALL   

Partición,%_class,%_red,Fit.,T
1,100.00,77.27,94.32,1.51e+04
2,87.50,72.73,83.81,1.50e+04
3,92.50,77.27,88.69,1.50e+04
4,90.00,77.27,86.82,1.51e+04
5,97.14,81.82,93.31,1.57e+04
Media,93.43,77.27,89.39,1.52e+04
