--------- RESULTADOS FINALES ---------   ECOLI_BL   

Partición,%_class,%_red,Fit.,T
1,71.43,57.14,67.86,8.29e+02
2,68.57,42.86,62.14,5.86e+02
3,66.18,71.43,67.49,5.52e+02
4,75.00,57.14,70.54,5.80e+02
5,85.00,57.14,78.04,5.56e+02
Media,73.24,57.14,69.21,6.21e+02
