--------- RESULTADOS FINALES ---------   BREAST-CANCER_AGG   

Partición,%_class,%_red,Fit.,T
1,94.78,80.00,91.09,1.48e+05
2,92.17,86.67,90.80,1.52e+05
3,86.09,86.67,86.23,1.47e+05
4,92.17,86.67,90.80,1.46e+05
5,94.50,80.00,90.87,1.49e+05
Media,91.94,84.00,89.96,1.48e+05
