--------- RESULTADOS FINALES ---------   BREAST-CANCER_AGE   

Partición,%_class,%_red,Fit.,T
1,93.04,83.33,90.62,1.44e+05
2,93.91,86.67,92.10,1.45e+05
3,88.70,90.00,89.02,1.43e+05
4,94.78,83.33,91.92,1.43e+05
5,94.50,83.33,91.70,1.48e+05
Media,92.99,85.33,91.07,1.45e+05
