--------- RESULTADOS FINALES ---------   ECOLI_AM_BEST   

Partición,%_class,%_red,Fit.,T
1,75.71,57.14,71.07,2.97e+04
2,54.29,71.43,58.57,3.09e+04
3,77.94,57.14,72.74,2.98e+04
4,80.88,57.14,74.95,2.96e+04
5,85.00,57.14,78.04,3.14e+04
Media,74.76,60.00,71.07,3.03e+04
