--------- RESULTADOS FINALES ---------   PARKINSONS_BL   

Partición,%_class,%_red,Fit.,T
1,90.00,72.73,85.68,9.49e+02
2,85.00,72.73,81.93,1.01e+03
3,95.00,77.27,90.57,9.38e+02
4,92.50,81.82,89.83,1.37e+03
5,94.29,81.82,91.17,8.24e+02
Media,91.36,77.27,87.84,1.02e+03
