--------- RESULTADOS FINALES ---------   PARKINSONS_AM_RAND   

Partición,%_class,%_red,Fit.,T
1,90.00,77.27,86.82,1.46e+04
2,95.00,77.27,90.57,1.46e+04
3,97.50,77.27,92.44,1.49e+04
4,92.50,81.82,89.83,1.44e+04
5,91.43,68.18,85.62,1.60e+04
Media,93.29,76.36,89.06,1.49e+04
